"CIDADE";"ESTADO";"CAPITAL";"IDHM";"IDHM_Renda";"IDHM_Longevidade";"IDHM_Educacao";"POPULACAO_ESTIMADA";"PIB";"regiao"
"Governador Dix-Sept Rosado";"RN";0;0.592;0.564;0.759;0.485;12997;179105;"Nordeste"
"Governador Edison Lobao";"MA";0;0.629;0.589;0.764;0.552;18068;310813;"Nordeste"
"Governador Eugenio Barros";"MA";0;0.572;0.55;0.736;0.462;16772;93690;"Nordeste"
"Governador Jorge Teixeira";"RO";0;0.596;0.627;0.762;0.444;8095;163371;"Norte"
"Governador Lindenberg";"ES";0;0.694;0.669;0.823;0.608;12535;189431;"Norte"
"Governador Luiz Rocha";"MA";0;0.544;0.508;0.692;0.459;7772;49272;"Nordeste"
"Governador Mangabeira";"BA";0;0.643;0.594;0.754;0.594;20679;273117;"Nordeste"
"Governador Newton Bello";"MA";0;0.521;0.509;0.718;0.387;10211;61851;"Nordeste"
"Governador Nunes Freire";"MA";0;0.569;0.54;0.722;0.472;25616;188614;"Nordeste"
"Governador Valadares";"MG";0;0.727;0.714;0.834;0.644;278685;5651277;"Norte"
"Gracho Cardoso";"SE";0;0.577;0.562;0.729;0.468;5811;60615;"Nordeste"
"Grajau";"MA";0;0.609;0.603;0.754;0.497;68876;568872;"Nordeste"
"Gramado";"RS";0;0.764;0.783;0.861;0.662;35875;1779296;"Sul"
"Gramado Dos Loureiros";"RS";0;0.685;0.662;0.832;0.584;2106;44492;"Sul"
"Gramado Xavier";"RS";0;0.634;0.681;0.792;0.473;4297;75023;"Sul"
"Grandes Rios";"PR";0;0.658;0.649;0.799;0.55;5742;118478;"Sul"
"Granito";"PE";0;0.595;0.543;0.773;0.502;7435;55859;"Nordeste"
"Granja";"CE";0;0.559;0.495;0.778;0.453;54729;374655;"Nordeste"
"Granjeiro";"CE";0;0.585;0.533;0.715;0.526;4469;31814;"Nordeste"
"Gravatal";"SC";0;0.757;0.726;0.877;0.681;11423;202885;"Sul"
"Gravatai";"RS";0;0.736;0.727;0.862;0.636;279398;10027099;"Sul"
"Gravata";"PE";0;0.634;0.63;0.794;0.51;83437;1017798;"Nordeste"
"Graca";"CE";0;0.57;0.514;0.755;0.477;15423;86753;"Nordeste"
"Graca Aranha";"MA";0;0.57;0.538;0.748;0.459;6263;38896;"Nordeste"
"Groairas";"CE";0;0.633;0.585;0.724;0.598;11076;69809;"Nordeste"
"Grossos";"RN";0;0.664;0.633;0.79;0.585;10302;113875;"Nordeste"
"Grupiara";"MG";0;0.731;0.679;0.844;0.682;1389;26431;"Norte"
"Grao Mogol";"MG";0;0.604;0.579;0.791;0.482;15779;278094;"Norte"
"Grao Para";"SC";0;0.736;0.749;0.846;0.63;6542;198424;"Sul"
"Guabiju";"RS";0;0.758;0.831;0.857;0.612;1516;73086;"Sul"
"Guabiruba";"SC";0;0.754;0.75;0.876;0.653;23272;816084;"Sul"
"Guadalupe";"PI";0;0.65;0.639;0.794;0.542;10500;429543;"Nordeste"
"Guaimbe";"SP";0;0.728;0.675;0.83;0.689;5743;72903;"Norte"
"Guairaca";"PR";0;0.693;0.698;0.829;0.574;6553;187530;"Sul"
"Guaicara";"SP";0;0.739;0.697;0.853;0.679;12039;186880;"Norte"
"Guaiuba";"CE";0;0.617;0.546;0.768;0.56;26472;168281;"Nordeste"
"Guajara";"AM";0;0.532;0.51;0.762;0.387;16416;109928;"Norte"
"Guajara-Mirim";"RO";0;0.657;0.663;0.823;0.519;45783;740160;"Norte"
