city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
Ribeirão Preto,3543402.0,2020-08-18,34,703293.0,False,True,14589,2074.38436,2020-08-17,0.0327,477,146,city,SP,0,0
Vila Velha,3205200.0,2020-08-18,34,493838.0,False,True,14442,2924.44081,2020-08-16,0.0307,444,153,city,ES,0,0
Cuiabá,5103403.0,2020-08-18,34,612547.0,False,True,13958,2278.6822899999997,2020-08-10,0.0456,636,152,city,MT,0,0
São José do Rio Preto,3549805.0,2020-08-18,34,460671.0,False,True,13622,2956.991,2020-08-17,0.0247,337,154,city,SP,0,0
Santo André,3547809.0,2020-08-18,34,718773.0,False,True,12970,1804.464,2020-08-17,0.0351,455,156,city,SP,0,0
Vitória,3205309.0,2020-08-18,34,362097.0,False,True,12805,3536.34523,2020-08-16,0.0298,382,153,city,ES,0,0
Juazeiro do Norte,2307304.0,2020-08-18,34,274207.0,False,True,12645,4611.47965,2020-08-17,0.0193,244,152,city,CE,0,0
Serra,3205002.0,2020-08-18,34,517510.0,False,True,12637,2441.88518,2020-08-16,0.0363,459,149,city,ES,0,0
Sorocaba,3552205.0,2020-08-18,34,679378.0,False,True,11915,1753.8101,2020-08-17,0.0251,299,145,city,SP,0,0
Campina Grande,2504009.0,2020-08-18,34,409731.0,False,True,11776,2874.0808,2020-08-17,0.0233,274,145,city,PB,0,0
Osasco,3534401.0,2020-08-18,34,698418.0,False,True,11264,1612.78776,2020-08-17,0.0599,675,154,city,SP,0,0
Porto Alegre,4314902.0,2020-08-18,34,1483771.0,True,False,10903,734.8169,2020-08-18,0.0497,542,161,city,RS,150,16
Sobral,2312908.0,2020-08-18,34,208935.0,False,True,10610,5078.13435,2020-08-17,0.0277,294,154,city,CE,0,0
São José dos Campos,3549904.0,2020-08-18,34,721944.0,False,True,10263,1421.5784,2020-08-17,0.0274,281,154,city,SP,0,0
Joinville,4209102.0,2020-08-18,34,590466.0,False,True,10188,1725.41687,2020-08-17,0.0206,210,159,city,SC,0,0
Niterói,3303302.0,2020-08-18,34,513584.0,False,True,9973,1941.84398,2020-08-17,0.0331,330,160,city,RJ,0,0
São Gonçalo,3304904.0,2020-08-18,34,1084839.0,False,True,9944,916.63371,2020-08-17,0.0619,616,149,city,RJ,0,0
Feira de Santana,2910800.0,2020-08-18,34,614872.0,False,True,9906,1611.06702,2020-08-17,0.0166,164,166,city,BA,0,0
Arapiraca,2700300.0,2020-08-18,34,231747.0,False,True,9895,4269.742429999999,2020-08-17,0.0124,123,123,city,AL,0,0
Cariacica,3201308.0,2020-08-18,34,381285.0,False,True,9830,2578.1239800000003,2020-08-16,0.0372,366,152,city,ES,0,0
Rio Branco,1200401.0,2020-08-18,34,407319.0,True,False,9692,2379.4618,2020-08-18,0.0389,377,155,city,AC,30,6
Araguaína,1702109.0,2020-08-18,34,180470.0,False,True,9673,5359.89361,2020-08-17,0.0129,125,145,city,TO,0,0
Palmas,1721000.0,2020-08-18,34,299127.0,False,True,9320,3115.73345,2020-08-17,0.006999999999999999,65,154,city,TO,0,0
Jundiaí,3525904.0,2020-08-18,34,418962.0,False,True,9066,2163.9194,2020-08-17,0.0375,340,147,city,SP,0,0
Piracicaba,3538709.0,2020-08-18,34,404142.0,False,True,8759,2167.30753,2020-08-17,0.0283,248,142,city,SP,0,0
Rio Verde,5218805.0,2020-08-18,34,235647.0,False,True,7944,3371.1441299999997,2020-08-17,0.0188,149,160,city,GO,0,0
